	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
PAX5_709	6.99435749056067	7.9486	1.13352555432744	0.0548303709746909	218182	11963	0.0621516266530657	27449	1706	PAX5_709
ESR1_661	6.97225749056067	7.9265	1.10600298100789	0.083402847164294	218182	18197	0.0922437975882546	27449	2532	ESR1_661
KLF12_191	6.91355749056067	7.8678	1.09041647378965	0.109853241788965	218182	23968	0.119785784545885	27449	3288	KLF12_191
ID3_38	6.25615749056067	7.2104	1.08373167230667	0.115069070775774	218182	25106	0.124703996502605	27449	3423	ID3_38
ID4_75	6.25615749056067	7.2104	1.08373167230667	0.115069070775774	218182	25106	0.124703996502605	27449	3423	ID4_75
CR7538031_135	5.91715749056068	6.8714	1.25244871790581	0.0140204049829958	218182	3059	0.0175598382454734	27449	482	CR7538031_135
ATF6B_151	5.91715749056068	6.8714	1.25244871790581	0.0140204049829958	218182	3059	0.0175598382454734	27449	482	ATF6B_151
CR9257962_153	5.91715749056068	6.8714	1.25244871790581	0.0140204049829958	218182	3059	0.0175598382454734	27449	482	CR9257962_153
AL6628286_154	5.91715749056068	6.8714	1.25244871790581	0.0140204049829958	218182	3059	0.0175598382454734	27449	482	AL6628286_154
ZKSCAN4_273	5.72295749056067	6.6772	1.16641496914001	0.0299841416798819	218182	6542	0.0349739516922292	27449	960	ZKSCAN4_273
ZKSCAN3_276	5.72295749056067	6.6772	1.16641496914001	0.0299841416798819	218182	6542	0.0349739516922292	27449	960	ZKSCAN3_276
SMARCC2_650	5.41055749056067	6.3648	1.10442344107724	0.0679524433729639	218182	14826	0.0750482713395752	27449	2060	SMARCC2_650
MESP1_69	5.38995749056067	6.3442	1.08395383329171	0.100425332978889	218182	21911	0.108856424642063	27449	2988	MESP1_69
MESP2_94	5.38995749056067	6.3442	1.08395383329171	0.100425332978889	218182	21911	0.108856424642063	27449	2988	MESP2_94
TAL1_62	5.34805749056067	6.3023	1.09339008548792	0.0823990980007517	218182	17978	0.0900943568071697	27449	2473	TAL1_62
TAL2_822	5.34805749056067	6.3023	1.09339008548792	0.0823990980007517	218182	17978	0.0900943568071697	27449	2473	TAL2_822
ETV5_347	5.14605749056067	6.1003	1.1908978536389	0.0208633159472367	218182	4552	0.0248460781813545	27449	682	ETV5_347
NR2C2_693	5.06245749056067	6.0167	1.12002444897709	0.0493762088531593	218182	10773	0.0553025611133375	27449	1518	NR2C2_693
HIC2_236	4.76205749056068	5.7163	1.09403093209425	0.0732599389500509	218182	15984	0.080148639294692	27449	2200	HIC2_236
ARID2_11	4.47205749056068	5.4263	1.12720342326066	0.0394303838080135	218182	8603	0.0444460636088746	27449	1220	ARID2_11
FERD3L_58	4.32465749056067	5.2789	1.07531767573209	0.100283249763959	218182	21880	0.10783635105104	27449	2960	FERD3L_58
MTF1_274	4.09315749056067	5.0474	1.12289004000139	0.0387383010514158	218182	8452	0.0434988524172101	27449	1194	MTF1_274
OTX1_437	3.62325749056067	4.5775	1.32255666361368	0.00548166209861492	218182	1196	0.00724980873620168	27449	199	OTX1_437
BHLHE40_51	3.55885749056067	4.5131	1.14665349546781	0.0243053964121697	218182	5303	0.0278698677547452	27449	765	BHLHE40_51
ETV1_320	3.51165749056068	4.4659	1.14681755345825	0.0239524800396	218182	5226	0.0274691245582717	27449	754	ETV1_320
ZBED1_816	3.47615749056067	4.4304	1.38879444013846	0.0036987469177109	218182	807	0.00513679915479617	27449	141	ZBED1_816
PRDM4_185	3.38975749056068	4.344	1.08620931824939	0.0632224473146272	218182	13794	0.0686728113956793	27449	1885	PRDM4_185
KLF9_192	2.95065749056068	3.9049	1.30017411278835	0.00518374568021193	218182	1131	0.00673977194069001	27449	185	KLF9_192
TP53_706	2.94635749056068	3.9006	1.10999992323798	0.0352824705979412	218182	7698	0.0391635396553609	27449	1075	TP53_706
SIM1_31	2.82795749056068	3.7822	1.17487955128199	0.014015821653482	218182	3058	0.0164669022550913	27449	452	SIM1_31
NPAS1_49	2.82795749056068	3.7822	1.17487955128199	0.014015821653482	218182	3058	0.0164669022550913	27449	452	NPAS1_49
NPAS3_59	2.82795749056068	3.7822	1.17487955128199	0.014015821653482	218182	3058	0.0164669022550913	27449	452	NPAS3_59
SIM2_61	2.82795749056068	3.7822	1.17487955128199	0.014015821653482	218182	3058	0.0164669022550913	27449	452	SIM2_61
ENSG00000250811_102	2.82795749056068	3.7822	1.17487955128199	0.014015821653482	218182	3058	0.0164669022550913	27449	452	ENSG00000250811_102
ZBTB6_271	2.53925749056068	3.4935	1.07542707752684	0.0627045310795574	218182	13681	0.0674341506065795	27449	1851	ZBTB6_271
YBX1_290	2.48875749056068	3.443	1.08528969721687	0.0490095424920479	218182	10693	0.0531895515319319	27449	1460	YBX1_290
BHLHE41_44	2.46515749056068	3.4194	1.14733455618264	0.0171783190180675	218182	3748	0.0197092790265583	27449	541	BHLHE41_44
EP300_804	2.29215749056068	3.2464	1.06400858143004	0.0776553519538734	218182	16943	0.0826259608728915	27449	2268	EP300_804
ZNF76_164	2.23055749056068	3.1848	1.05495716727632	0.0999395000504166	218182	21805	0.105431891872199	27449	2894	ZNF76_164
YY2_284	2.22055749056068	3.1748	1.09154079889358	0.038816217653152	218182	8469	0.0423694852271485	27449	1163	YY2_284
MLXIP_78	1.88595749056068	2.8402	1.10688186959804	0.0250799791000174	218182	5472	0.0277605741557069	27449	762	MLXIP_78
RFX7_728	1.87945749056068	2.8337	1.06075691781571	0.0723982730014392	218182	15796	0.0767969689241867	27449	2108	RFX7_728
ZBTB49_235	1.78145749056068	2.7357	1.08158301537679	0.0399483000430833	218182	8716	0.0432074028197749	27449	1186	ZBTB49_235
ETV4_345	1.70905749056068	2.6633	1.11016284423925	0.0217570652024457	218182	4747	0.0241538853874458	27449	663	ETV4_345
SCRT1_242	1.69855749056068	2.6528	1.06670797561905	0.0560449532958723	218182	12228	0.0597835986739043	27449	1641	SCRT1_242
ELK1_331	1.56955749056068	2.5238	1.0920130861243	0.0285908095076587	218182	6238	0.0312215381252505	27449	857	ELK1_331
SMAD1_744	1.51875749056068	2.473	1.03854929663148	0.137719885233429	218182	30048	0.143028889941346	27449	3926	SMAD1_744
ELK3_327	1.15825749056068	2.1125	1.08178183665943	0.0280866432611306	218182	6128	0.0303836205326241	27449	834	ELK3_327
GCM1_390	1.14735749056068	2.1016	1.09237998538411	0.0220778982684181	218182	4817	0.0241174541877664	27449	662	GCM1_390
SCRT2_282	1.13185749056068	2.0861	1.05718079424212	0.0543445380462183	218182	11857	0.0574520018944224	27449	1577	SCRT2_282
